Estado,Porc_Ocup,Unnamed: 11
Guerrero ,13.1898348,0.0
Yucatán  ,15.95322064,0.0
Durango ,16.82987921333333,0.0
Tamaulipas ,18.654970643333332,0.0
Nayarit ,19.255094606666667,0.0
Quintana Roo ,25.100863816666664,0.0
Guerrero,27.32929539,0.0
Durango,29.310623949999997,0.0
Tamaulipas,31.05493398333333,0.0
Nayarit,32.03648126666666,0.0
Yucatán,33.93641190666667,0.0
Tlaxcala,34.10470389333334,0.0
México,35.062081416666665,0.0
Chiapas,35.832210763333336,0.0
Morelos,36.701888403333335,0.0
Michoacán,39.07652339999999,0.0
Baja California,39.70067673666667,0.0
Oaxaca,40.226086253333335,0.0
Chihuahua,40.578146960000005,0.0
Zacatecas,41.26657831,0.0
Colima,42.988392456666666,0.0
Coahuila,44.96301732333333,0.0
Guanajuato,45.74632806333333,0.0
San Luis Potosí,45.83723193,0.0
Quintana Roo,47.01175234333334,0.0
Veracruz,47.86788774666667,0.0
Sinaloa,48.00357225,0.0
Aguascalientes,48.030082666666665,0.0
Jalisco,48.709277500000006,0.0
Hidalgo,49.877775539999995,0.0
Sonora,51.62588838333334,0.0
Campeche,51.82662435,0.0
Nuevo León,52.27038730333334,0.0
Querétaro,53.6015267,0.0
Tabasco,54.50522661,0.0
Puebla,59.59437446333334,0.0
Baja California Sur,59.63260322333333,0.0
Distrito Federal,63.80392634333333,0.0
